model,avg_accuracy,median_accuracy,max_accuracy,min_accuracy,std_accuracy,n_datapoints
BiLSTM,0.5377777777777778,0.54,0.58,0.4866666666666667,0.034426518632954796,6
CNN_GRU,0.5322222222222223,0.5433333333333333,0.6066666666666667,0.46,0.05694701891199366,6
GRU,0.5266666666666667,0.5266666666666666,0.58,0.4666666666666667,0.048074017006186506,6
XGBoost,0.5244444444444445,0.52,0.6,0.44,0.053775941199125946,6
CNN_LSTM,0.5244444444444444,0.52,0.5866666666666667,0.4666666666666667,0.0443554664884432,6
LightGBM,0.5233333333333333,0.5233333333333333,0.6,0.44,0.050902957783522856,6
TCN_GRU,0.5099999999999999,0.5133333333333333,0.5466666666666666,0.47333333333333333,0.03003701420285015,6
LSTM,0.5088888888888888,0.52,0.5666666666666667,0.4533333333333333,0.04631614389373522,6
TCN_Transformer,0.49444444444444446,0.5066666666666667,0.52,0.42,0.03873939520360045,6
NBEATS,0.4911111111111111,0.49333333333333335,0.5266666666666666,0.44,0.03786917049625028,6
