timestamp,close,high,low,open,volume,symbol
2015-01-01,10923.25,10983.75,10911.4501953125,10957.099609375,2363000,NIFTY_PHARMA
2015-01-02,10955.599609375,11005.099609375,10948.7998046875,10952.9501953125,2938000,NIFTY_PHARMA
2015-01-05,10920.599609375,10982.0,10902.75,10955.900390625,4063000,NIFTY_PHARMA
2015-01-06,10637.7998046875,10876.099609375,10614.650390625,10873.900390625,6106000,NIFTY_PHARMA
2015-01-07,10604.9501953125,10672.9501953125,10525.650390625,10655.75,4858000,NIFTY_PHARMA
2015-01-08,10737.599609375,10748.099609375,10666.2998046875,10666.2998046875,4555000,NIFTY_PHARMA
2015-01-09,10934.5498046875,10965.2998046875,10791.0498046875,10791.0498046875,6792000,NIFTY_PHARMA
2015-01-12,10976.2001953125,11002.2001953125,10907.099609375,10948.349609375,4237000,NIFTY_PHARMA
2015-01-13,10984.2998046875,11065.9501953125,10934.5498046875,10987.2998046875,5461000,NIFTY_PHARMA
2015-01-14,10881.5498046875,11011.2998046875,10866.7001953125,10974.0,4282000,NIFTY_PHARMA
2015-01-15,10936.2998046875,10986.0498046875,10903.849609375,10966.900390625,6426000,NIFTY_PHARMA
2015-01-16,11101.150390625,11127.5498046875,10959.849609375,10959.849609375,5271000,NIFTY_PHARMA
2015-01-19,11249.2998046875,11258.2998046875,11144.099609375,11145.650390625,5298000,NIFTY_PHARMA
2015-01-20,11290.650390625,11303.7998046875,11236.25,11298.599609375,5363000,NIFTY_PHARMA
2015-01-21,11320.849609375,11329.4501953125,11223.400390625,11284.7998046875,5936000,NIFTY_PHARMA
2015-01-22,11509.5,11541.349609375,11321.849609375,11321.849609375,9725000,NIFTY_PHARMA
2015-01-23,11581.099609375,11645.7001953125,11501.75,11584.4501953125,8145000,NIFTY_PHARMA
2015-01-27,11583.25,11644.599609375,11472.349609375,11644.599609375,7554000,NIFTY_PHARMA
2015-01-28,11577.75,11661.650390625,11472.2001953125,11586.599609375,5890000,NIFTY_PHARMA
2015-01-29,11752.0498046875,11805.7001953125,11512.2001953125,11566.5,10251000,NIFTY_PHARMA
2015-01-30,11693.5498046875,11792.099609375,11647.0498046875,11784.0498046875,5989000,NIFTY_PHARMA
2015-02-02,11627.650390625,11779.7998046875,11609.0,11686.150390625,5289000,NIFTY_PHARMA
2015-02-03,11520.0,11662.0498046875,11476.9501953125,11647.75,6366000,NIFTY_PHARMA
2015-02-04,11625.7001953125,11710.400390625,11551.2001953125,11580.099609375,6914000,NIFTY_PHARMA
2015-02-05,11522.099609375,11616.7998046875,11493.75,11595.599609375,9123000,NIFTY_PHARMA
2015-02-06,11322.9501953125,11583.900390625,11292.2001953125,11542.25,8875000,NIFTY_PHARMA
2015-02-09,11289.400390625,11338.650390625,11233.150390625,11276.900390625,5684000,NIFTY_PHARMA
2015-02-10,11283.5,11356.349609375,11197.650390625,11295.0,7845000,NIFTY_PHARMA
2015-02-11,11391.7001953125,11443.5498046875,11323.0,11326.25,7081000,NIFTY_PHARMA
2015-02-12,11598.25,11623.9501953125,11414.9501953125,11469.5,8596000,NIFTY_PHARMA
2015-02-13,11789.900390625,11861.099609375,11714.2001953125,11714.2001953125,13878000,NIFTY_PHARMA
2015-02-16,11680.25,11818.0498046875,11663.75,11745.75,6645000,NIFTY_PHARMA
2015-02-18,11741.25,11763.4501953125,11672.849609375,11719.2001953125,4521000,NIFTY_PHARMA
2015-02-19,11734.5,11801.75,11666.5498046875,11769.7001953125,6861000,NIFTY_PHARMA
2015-02-20,11746.5,11819.650390625,11721.7001953125,11765.400390625,5610000,NIFTY_PHARMA
2015-02-23,11640.7998046875,11797.650390625,11609.849609375,11749.099609375,9263000,NIFTY_PHARMA
2015-02-24,11663.849609375,11703.9501953125,11618.099609375,11645.2998046875,5580000,NIFTY_PHARMA
2015-02-25,11533.5,11725.9501953125,11516.7001953125,11706.2998046875,6686000,NIFTY_PHARMA
2015-02-26,11412.2998046875,11545.349609375,11362.099609375,11534.400390625,13509000,NIFTY_PHARMA
2015-02-27,11554.7998046875,11581.7998046875,11443.599609375,11444.900390625,7917000,NIFTY_PHARMA
2015-03-02,12024.0498046875,12060.0,11787.5498046875,11826.25,7613000,NIFTY_PHARMA
2015-03-03,12166.2001953125,12279.7998046875,12082.599609375,12089.7998046875,8168000,NIFTY_PHARMA
2015-03-04,12326.7998046875,12562.900390625,12131.849609375,12219.7001953125,13221000,NIFTY_PHARMA
2015-03-05,12632.5,12654.25,12372.849609375,12373.2998046875,10311000,NIFTY_PHARMA
2015-03-09,12676.900390625,12746.75,12524.7998046875,12584.5498046875,8254000,NIFTY_PHARMA
2015-03-10,12631.9501953125,12824.5498046875,12587.650390625,12746.5498046875,8953000,NIFTY_PHARMA
2015-03-11,12515.75,12695.5,12469.25,12689.5,7030000,NIFTY_PHARMA
2015-03-12,12663.7001953125,12678.2998046875,12504.099609375,12542.2998046875,7680000,NIFTY_PHARMA
2015-03-13,12487.0498046875,12749.9501953125,12467.0,12749.9501953125,7763000,NIFTY_PHARMA
2015-03-16,12480.7001953125,12551.25,12426.599609375,12523.150390625,8588000,NIFTY_PHARMA
2015-03-17,12716.7998046875,12746.849609375,12538.650390625,12545.900390625,8544000,NIFTY_PHARMA
2015-03-18,12732.400390625,12783.0,12671.0498046875,12771.25,6081000,NIFTY_PHARMA
2015-03-19,12799.7998046875,13019.150390625,12724.849609375,12841.650390625,9856000,NIFTY_PHARMA
