symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
HDFCBANK,0.47584973166368516,0.5281803542673108,6.0,559,47.0,1016.0
ICICIBANK,0.5044404973357016,0.6204081632653061,6.0,563,47.0,1022.0
SBIN,0.5117845117845118,0.6262886597938144,6.0,594,47.0,1077.0
AXISBANK,0.5049019607843137,0.5866302864938608,6.0,612,47.0,1111.0
INDUSINDBK,0.5023328149300156,0.6078431372549019,6.0,643,47.0,1167.0
KOTAKBANK,0.5340136054421769,0.5340136054421769,6.0,588,47.0,1068.0
BANDHANBNK,0.5171385991058122,0.43356643356643354,6.0,671,47.0,1220.0
IDFCFIRSTB,0.4884080370942813,0.4899845916795069,6.0,647,47.0,1175.0
FEDERALBNK,0.5097402597402597,0.5929919137466307,6.0,616,47.0,1119.0
BAJAJFINSV,0.4766666666666667,0.5514285714285714,6.0,600,47.0,1089.0
AUBANK,0.5362095531587057,0.5214626391096979,6.0,649,47.0,1178.0
BAJFINANCE,0.5239669421487604,0.5414012738853503,6.0,605,47.0,1099.0
HDFCLIFE,0.49833333333333335,0.525984251968504,6.0,600,47.0,1090.0
SBILIFE,0.5094991364421416,0.5835777126099707,6.0,579,47.0,1052.0
ICICIGI,0.4966216216216216,0.5565476190476191,6.0,592,47.0,1075.0
MUTHOOTFIN,0.5048231511254019,0.5947368421052631,6.0,622,47.0,1129.0
CHOLAFIN,0.5353383458646617,0.5502183406113537,6.0,665,47.0,1207.0
MANAPPURAM,0.4854961832061069,0.5559947299077734,6.0,655,47.0,1190.0
INFY,0.5134680134680135,0.557427258805513,6.0,594,50.0,1079.0
TCS,0.48381294964028776,0.5748148148148148,6.0,556,50.0,1009.0
HCLTECH,0.5265866209262435,0.6145251396648045,6.0,583,50.0,1059.0
TECHM,0.5138662316476346,0.5706051873198847,6.0,613,50.0,1113.0
WIPRO,0.5110356536502547,0.5183946488294314,6.0,589,50.0,1069.0
LTIM,0.5323624595469255,0.6110363391655451,6.0,618,50.0,1123.0
PERSISTENT,0.4714946070878274,0.5950413223140496,6.0,649,50.0,1179.0
MPHASIS,0.5054263565891473,0.5587828492392808,6.0,645,50.0,1171.0
COFORGE,0.5332326283987915,0.6043533930857875,6.0,662,50.0,1203.0
OFSS,0.49584026622296173,0.5563689604685212,6.0,601,50.0,1092.0
TATAELXSI,0.4944356120826709,0.4132841328413284,6.0,629,50.0,1141.0
NAUKRI,0.4708276797829037,0.5465116279069767,6.0,737,50.0,1338.0
MARUTI,0.4930313588850174,0.5848787446504993,6.0,574,50.0,1042.0
BAJAJ-AUTO,0.5112262521588946,0.6063977746870653,6.0,579,50.0,1052.0
HEROMOTOCO,0.5032786885245901,0.5640287769784172,6.0,610,50.0,1108.0
EICHERMOT,0.5087719298245614,0.49174917491749176,6.0,627,50.0,1137.0
TVSMOTOR,0.5248796147672552,0.6718403547671841,6.0,623,50.0,1131.0
M&M,0.5,0.636471990464839,6.0,610,50.0,1108.0
EXIDEIND,0.47540983606557374,0.5800524934383202,6.0,610,50.0,1108.0
BOSCHLTD,0.5116959064327485,0.6195899772209568,6.0,684,50.0,1241.0
MOTHERSON,0.4657534246575342,0.5411764705882353,6.0,657,50.0,1193.0
DRREDDY,0.5017543859649123,0.6311688311688312,6.0,570,50.0,1035.0
SUNPHARMA,0.540587219343696,0.6076696165191741,6.0,579,50.0,1051.0
