symbol,n,model_acc,p_alwaysup,p_mom5,p_ar1,dm_alwaysup,dm_mom5,dm_ar1
ABB,398,0.5201,0.4281,0.2976,0.3302,-0.181,-0.531,-0.439
ADANIENT,400,0.545,0.021,0.024,0.2191,-2.034,-1.978,-0.775
ADANIPORTS,345,0.5072,0.3855,0.2859,0.7832,-0.291,-0.565,0.783
ALKEM,328,0.4817,0.9595,0.4766,0.55,1.745,-0.059,0.126
AMBUJACEM,341,0.5455,0.0241,0.118,0.0249,-1.975,-1.185,-1.962
ASIANPAINT,367,0.5068,0.3341,0.2778,0.4543,-0.428,-0.589,-0.115
AUBANK,353,0.4533,0.9911,0.9751,0.5242,2.371,1.962,0.061
AUROPHARMA,357,0.5014,0.6972,0.2442,0.5542,0.516,-0.693,0.136
AXISBANK,321,0.5607,0.2978,0.1367,0.1467,-0.531,-1.095,-1.051
BAJAJ-AUTO,314,0.5127,0.7007,0.7051,0.2579,0.526,0.539,-0.65
BAJAJFINSV,323,0.4923,0.6894,0.5475,0.5,0.494,0.119,0.0
BAJFINANCE,338,0.5533,0.3698,0.0469,0.0628,-0.332,-1.676,-1.532
BANDHANBNK,363,0.5565,0.125,0.0081,0.333,-1.15,-2.406,-0.432
BEL,348,0.5029,0.8327,0.3037,0.594,0.965,-0.514,0.238
BERGEPAINT,372,0.4409,0.8087,0.6621,0.8152,0.873,0.418,0.897
BHARTIARTL,318,0.4937,0.9828,0.2842,0.549,2.115,-0.571,0.123
BHEL,427,0.4871,0.9251,0.5184,0.7228,1.44,0.046,0.591
BOSCHLTD,379,0.5145,0.6715,0.7375,0.3556,0.444,0.636,-0.37
BPCL,342,0.5263,0.5778,0.144,0.1813,0.196,-1.063,-0.91
BRITANNIA,300,0.5733,0.2619,0.044,0.0443,-0.637,-1.706,-1.703
CHOLAFIN,357,0.5042,0.7135,0.2938,0.5,0.564,-0.542,0.0
CIPLA,314,0.5573,0.05,0.0151,0.0539,-1.645,-2.168,-1.608
COALINDIA,330,0.4788,0.8359,0.1135,0.7136,0.978,-1.208,0.564
COFORGE,362,0.5249,0.9975,0.6733,0.6608,2.808,0.449,0.415
COLPAL,297,0.4074,0.7857,0.9814,0.5558,0.791,2.084,0.14
CUMMINSIND,348,0.523,0.9586,0.2895,0.571,1.734,-0.555,0.179
DIVISLAB,372,0.5054,0.6709,0.2365,0.686,0.442,-0.718,0.484
DLF,423,0.4965,0.5,0.5729,0.8521,0.0,0.184,1.045
DMART,393,0.3995,0.9503,0.9179,0.9811,1.648,1.391,2.078
DRREDDY,317,0.4322,0.9961,0.8738,0.5481,2.662,1.145,0.121
EICHERMOT,333,0.5285,0.8835,0.0669,0.1101,1.193,-1.499,-1.226
ETERNAL,217,0.53,0.0269,0.0453,0.6381,-1.929,-1.692,0.353
EXIDEIND,342,0.5556,0.0007,0.0608,0.021,-3.186,-1.548,-2.033
FEDERALBNK,345,0.4899,0.9848,0.3614,0.4219,2.165,-0.355,-0.197
GAIL,406,0.5419,0.4277,0.0112,0.2283,-0.182,-2.282,-0.745
GODREJCP,330,0.4273,0.7098,0.929,0.9434,0.553,1.468,1.584
GODREJPROP,416,0.4495,0.9413,0.9405,0.9508,1.566,1.559,1.652
GRASIM,329,0.541,0.1683,0.0681,0.0765,-0.961,-1.49,-1.429
HAL,354,0.4718,0.6183,0.3534,0.64,0.301,-0.376,0.358
HAVELLS,380,0.5053,0.3747,0.1318,0.4267,-0.32,-1.118,-0.185
HCLTECH,321,0.5639,0.6374,0.2619,0.0801,0.351,-0.637,-1.405
HDFCBANK,293,0.5256,0.6629,0.2581,0.0427,0.42,-0.649,-1.72
HDFCLIFE,317,0.4763,0.5204,0.7458,0.9183,0.051,0.661,1.394
HEROMOTOCO,335,0.4746,0.3216,0.8078,0.5976,-0.463,0.87,0.247
HINDALCO,351,0.5328,0.9785,0.1426,0.0905,2.025,-1.068,-1.338
HINDUNILVR,290,0.5103,0.1928,0.3553,0.137,-0.868,-0.371,-1.094
ICICIBANK,308,0.5584,0.2345,0.2367,0.0611,-0.724,-0.717,-1.546
ICICIGI,313,0.5208,0.3855,0.7398,0.2565,-0.291,0.643,-0.654
IDFCFIRSTB,351,0.5271,0.1092,0.1845,0.0617,-1.231,-0.898,-1.54
INDUSINDBK,336,0.4583,0.696,0.5,0.7524,0.513,0.0,0.682
INDUSTOWER,351,0.4416,0.9203,0.6328,0.9823,1.407,0.339,2.104
INFY,328,0.5,0.6952,0.4382,0.5985,0.511,-0.156,0.249
IRFC,229,0.5677,0.0182,0.3035,0.5576,-2.092,-0.514,0.145
ITC,307,0.5537,0.0362,0.0188,0.4723,-1.796,-2.08,-0.07
JSWSTEEL,338,0.5651,0.8117,0.0766,0.0797,0.884,-1.428,-1.407
KOTAKBANK,317,0.5363,0.426,0.0695,0.4438,-0.187,-1.48,-0.141
LT,332,0.5361,0.6424,0.0521,0.5239,0.365,-1.625,0.06
LTIM,341,0.5396,0.5,0.6277,0.4542,0.0,0.326,-0.115
LUPIN,330,0.5909,0.2337,0.0003,0.1833,-0.727,-3.434,-0.903
M&M,344,0.532,0.5753,0.1819,0.1183,0.19,-0.908,-1.183
MANAPPURAM,358,0.5922,0.2294,0.0015,0.028,-0.741,-2.977,-1.912
MARICO,307,0.544,0.313,0.1173,0.2602,-0.487,-1.189,-0.643
MARUTI,314,0.5414,0.39,0.2589,0.3753,-0.279,-0.647,-0.318
MOTHERSON,372,0.4328,0.9815,0.9826,0.8981,2.085,2.11,1.271
MPHASIS,348,0.546,0.2013,0.0688,0.0215,-0.837,-1.484,-2.024
MUTHOOTFIN,340,0.5618,0.925,0.0034,0.0453,1.439,-2.704,-1.692
NAUKRI,402,0.5423,0.2569,0.0238,0.0703,-0.653,-1.981,-1.474
NESTLEIND,289,0.481,0.6598,0.4325,0.1344,0.412,-0.17,-1.106
NMDC,366,0.5656,0.1897,0.0,0.0128,-0.879,-4.267,-2.233
NTPC,323,0.5263,0.6507,0.0624,0.2005,0.387,-1.535,-0.84
OFSS,332,0.4488,0.5995,0.7724,0.8297,0.252,0.747,0.953
ONGC,342,0.4649,0.8878,0.3592,0.9117,1.215,-0.361,1.351
PAGEIND,387,0.5245,0.0806,0.2064,0.1646,-1.401,-0.819,-0.976
PERSISTENT,349,0.5903,0.5,0.0377,0.0564,0.0,-1.778,-1.586
PIDILITIND,353,0.5241,0.4464,0.3707,0.4259,-0.135,-0.33,-0.187
POLYCAB,322,0.5311,0.7354,0.0326,0.3049,0.629,-1.844,-0.51
POWERGRID,316,0.4873,0.5,0.1405,0.6446,0.0,-1.078,0.371
RELIANCE,321,0.5296,0.2229,0.2206,0.4233,-0.762,-0.77,-0.193
SAIL,365,0.5123,0.5521,0.1801,0.3953,0.131,-0.915,-0.266
SBILIFE,322,0.5248,0.5269,0.4415,0.0914,0.067,-0.147,-1.332
SBIN,334,0.5479,0.908,0.2244,0.3699,1.329,-0.757,-0.332
SHREECEM,322,0.4907,0.5637,0.2499,0.526,0.16,-0.675,0.065
SIEMENS,401,0.4738,0.9808,0.8267,0.4154,2.07,0.941,-0.214
SUNPHARMA,304,0.5428,0.319,0.2658,0.0927,-0.47,-0.626,-1.324
TATACONSUM,308,0.461,0.6317,0.3908,0.8251,0.336,-0.277,0.935
TATAELXSI,340,0.5324,0.0249,0.4774,0.3544,-1.962,-0.057,-0.373
TATAPOWER,404,0.4827,0.7914,0.0697,0.4519,0.811,-1.478,-0.121
TATASTEEL,396,0.548,0.6301,0.0915,0.1502,0.332,-1.332,-1.036
TCS,314,0.465,0.219,0.6221,0.8878,-0.775,0.311,1.215
TECHM,328,0.4909,0.9798,0.6475,0.1781,2.05,0.379,-0.922
TITAN,389,0.5064,0.892,0.6111,0.5653,1.237,0.282,0.164
TORNTPHARM,310,0.5452,0.6002,0.0188,0.3918,0.254,-2.079,-0.275
TVSMOTOR,338,0.5473,0.8688,0.1328,0.2297,1.121,-1.113,-0.74
ULTRACEMCO,313,0.5048,0.824,0.2825,0.5515,0.931,-0.575,0.129
VEDL,361,0.4875,0.969,0.0798,0.5999,1.866,-1.407,0.253
VOLTAS,391,0.5064,0.5455,0.6643,0.5476,0.114,0.424,0.12
WIPRO,330,0.5182,0.6735,0.2109,0.243,0.45,-0.803,-0.697
