symbol,n,model_acc,p_alwaysup,p_mom5,p_ar1,dm_alwaysup,dm_mom5,dm_ar1
ABB,399,0.4887,0.7683,0.5185,0.585,0.733,0.046,0.215
ADANIENT,401,0.5586,0.049,0.0116,0.1312,-1.654,-2.27,-1.121
ADANIPORTS,346,0.5058,0.4376,0.3489,0.806,-0.157,-0.388,0.863
ALKEM,328,0.4756,0.9582,0.5241,0.5988,1.73,0.06,0.25
AMBUJACEM,342,0.5146,0.0397,0.2798,0.0824,-1.754,-0.583,-1.389
ASIANPAINT,367,0.485,0.4573,0.4199,0.6389,-0.107,-0.202,0.356
AUBANK,354,0.5028,0.8684,0.8589,0.1797,1.119,1.075,-0.916
AUROPHARMA,358,0.5642,0.1617,0.0342,0.0768,-0.988,-1.823,-1.427
AXISBANK,321,0.567,0.2125,0.0884,0.0978,-0.798,-1.351,-1.294
BAJAJ-AUTO,315,0.527,0.5551,0.5706,0.181,0.139,0.178,-0.912
BAJAJFINSV,323,0.4396,0.9259,0.8827,0.863,1.446,1.188,1.094
BAJFINANCE,339,0.5015,0.7396,0.2824,0.3749,0.642,-0.576,-0.319
BANDHANBNK,364,0.5357,0.2144,0.0276,0.5,-0.791,-1.918,0.0
BEL,349,0.5244,0.6393,0.2045,0.4056,0.357,-0.826,-0.239
BERGEPAINT,373,0.4584,0.6525,0.5204,0.6682,0.392,0.051,0.435
BHARTIARTL,319,0.5517,0.5,0.0565,0.1373,0.0,-1.585,-1.092
BHEL,428,0.4953,0.9156,0.5,0.6863,1.376,0.0,0.485
BOSCHLTD,380,0.5658,0.0529,0.4008,0.0941,-1.617,-0.251,-1.316
BPCL,343,0.5452,0.3705,0.0827,0.0732,-0.33,-1.387,-1.452
BRITANNIA,300,0.5967,0.1721,0.0187,0.0213,-0.946,-2.081,-2.028
CHOLAFIN,357,0.5518,0.3444,0.0607,0.1767,-0.401,-1.549,-0.928
CIPLA,315,0.527,0.2198,0.0426,0.1717,-0.773,-1.721,-0.948
COALINDIA,330,0.4727,0.8652,0.1157,0.7341,1.104,-1.197,0.625
COFORGE,363,0.5289,0.9919,0.6323,0.6133,2.403,0.338,0.288
COLPAL,297,0.4512,0.4209,0.9305,0.1996,-0.2,1.479,-0.843
CUMMINSIND,348,0.5316,0.9736,0.2274,0.5,1.937,-0.748,0.0
DIVISLAB,373,0.5684,0.1123,0.0236,0.1658,-1.215,-1.985,-0.971
