date,daily_return,portfolio_value,n_open
2023-10-09,0.0,1.0,0
2023-10-12,0.0,1.0,0
2023-10-16,0.0,1.0,0
2023-10-17,0.0,1.0,0
2023-10-18,0.0,1.0,0
2023-10-19,0.0,1.0,0
2023-10-20,0.0,1.0,0
2023-10-23,0.0,1.0,0
2023-10-26,0.0,1.0,0
2023-10-31,0.0,1.0,0
2023-11-01,0.0,1.0,0
2023-11-02,0.0,1.0,0
2023-11-03,0.0,1.0,0
2023-11-06,-0.0005,0.9995,0
2023-11-07,0.0009618826248612766,1.000461401683549,1
2023-11-08,0.0009618826248612766,1.0014237281226726,1
2023-11-09,0.0009618826248612766,1.0023869802068774,1
2023-11-10,0.0009618826248612766,1.0033511588265256,1
2023-11-13,0.0021794807532276917,1.0055379433659166,1
2023-11-16,0.0024648459935911918,1.0080164395370261,1
2023-11-17,0.005672268258009483,1.0137341791905636,2
2023-11-20,0.0038167900567125713,1.0176033897258479,1
2023-11-21,0.003253440485288406,1.0209141017919487,2
2023-11-22,-0.0036077299280229845,1.0172309194329732,3
2023-11-23,-0.0006326382915586184,1.0165873802019825,3
2023-11-24,-0.0006326382915586184,1.0159442480985514,3
2023-11-29,0.0009094800108082387,1.0168682290842928,3
2023-11-30,0.0008166749002388894,1.0176986798438363,3
2023-12-01,0.0008166749002388894,1.0185298088116712,3
2023-12-04,0.0008166749002388894,1.0193616165416728,2
2023-12-05,-0.0065318710761416605,1.0127032778824552,2
2023-12-06,-0.004265952094036196,1.0083831342135352,2
2023-12-07,-0.004265952094036196,1.0040814200705461,2
2023-12-08,0.0013992811845404685,1.0054864123093976,2
2023-12-11,0.005379915407983704,1.0108958441514992,2
2023-12-12,0.005379915407983704,1.0163343782793166,2
2023-12-13,0.005379915407983704,1.021802171260685,1
2023-12-14,0.0014524926380875326,1.023286331392023,1
2023-12-15,0.0014524926380875326,1.0247726472550256,1
2023-12-18,-0.004898070614054406,1.0197532384654189,1
2023-12-19,-0.004898070614054406,1.0147584150945046,0
2023-12-20,0.0,1.0147584150945046,0
2023-12-21,0.0,1.0147584150945046,0
2023-12-22,0.0,1.0147584150945046,0
2023-12-27,-0.0005,1.0142510358869574,0
2023-12-28,-0.002197325921125759,1.0120223957952743,1
2023-12-29,-0.002197325921125759,1.0097986527522336,1
2024-01-01,-0.002197325921125759,1.0075797959974233,1
2024-01-03,0.01278556645342115,1.0204622744362728,1
2024-01-04,-0.002219603304319029,1.0181972530000012,1
2024-01-05,0.0016866982892482785,1.0199146445647536,1
2024-01-08,0.006981036264340389,1.0270347056849918,0
2024-01-09,-0.0012142323566702415,1.0257876469139258,2
2024-01-10,0.00012337119329988168,1.0259141995599979,2
2024-01-11,0.00012337119329988168,1.0260407678190209,2
2024-01-12,0.0025324955096345026,1.0286392114562244,2
2024-01-15,-0.00664412271013306,1.0218048063108547,2
2024-01-17,-0.005089057335748537,1.0166047830655953,2
2024-01-18,-0.005089057335748537,1.0114312230367783,2
2024-01-19,-0.0022465372905300356,1.0091590050774197,1
2024-01-25,0.01775156511424887,1.027073156866682,5
2024-01-30,0.016611645050000748,1.044134531588935,4
2024-01-31,0.005814692777568098,1.0502058531085747,4
2024-02-01,0.014425358793991172,1.0653554493472155,4
2024-02-02,0.016113426687571496,1.0825219762764766,5
2024-02-05,0.012634040902442089,1.0961986032025461,5
2024-02-06,0.00912455550896114,1.1062009282063134,3
2024-02-07,0.0005965492628395191,1.1068608315545874,5
2024-02-08,0.0027905296618062625,1.109949559536532,5
2024-02-09,0.0034201013489766558,1.113745699522399,4
2024-02-12,-0.0019643268254802776,1.1115579389680639,4
2024-02-13,0.021529204965181972,1.1354888976667827,3
2024-02-14,-0.008966451918463857,1.125307591061904,4
2024-02-15,0.0055574424098587035,1.1315614231926074,4
2024-02-16,-0.00797044999414014,1.1225423694537529,4
2024-02-19,0.008391524608732636,1.1319622113713692,4
2024-02-21,0.0018859393449322415,1.134097023442771,5
2024-02-22,-0.0038576681856200335,1.1297220534360295,4
2024-02-23,-0.007793077624512567,1.1209180417794788,4
2024-02-26,-0.01055835379257134,1.1090829925218948,4
2024-02-27,0.005446599627743765,1.1151237235361016,5
2024-02-28,0.015619260035487893,1.1325411309457534,4
2024-02-29,0.0024565743079551852,1.1353233023907372,3
2024-03-01,0.0035381413822299862,1.1393402367491359,5
2024-03-04,0.004986780333612373,1.1450218762350497,5
2024-03-05,0.026357843634120748,1.1752021838065008,5
2024-03-06,0.017505878922050522,1.1957751309451468,4
2024-03-07,-0.014894047818583124,1.1779651989645772,3
2024-03-12,0.002319204494700845,1.1806971411486171,3
2024-03-13,0.012126308736982594,1.195014639207058,5
2024-03-14,-0.007572019018579401,1.1859659656315014,5
2024-03-15,0.00611001464614881,1.1932122350513439,4
2024-03-18,-0.017752536824187294,1.172029690909524,5
2024-03-19,0.005606404391552433,1.178600563315669,4
2024-03-20,0.019871833671911063,1.2020215176754987,4
2024-03-21,0.002402090079918264,1.2049088816389553,4
2024-03-22,0.00047933769278405347,1.205486439882295,5
2024-03-27,0.012868954878938887,1.220999790484313,3
2024-03-28,0.030869506047028004,1.2586914509000886,5
2024-04-02,0.004660128775622141,1.2645571151500576,5
2024-04-03,0.001883692109023416,1.2669391514092754,5
2024-04-04,0.004258212647063053,1.2723340477268659,5
2024-04-05,0.013946233636754048,1.2900783156204616,3
2024-04-09,-5.331932515205591e-05,1.2900095295152794,2
2024-04-10,-0.01565606466874523,1.2698130568978905,5
2024-04-15,-0.007035044933390267,1.2608798649856081,5
2024-04-16,-0.007126235076781161,1.2518945386641407,4
2024-04-19,0.008638902536748793,1.2627095335699483,4
2024-04-22,0.0063666027841303265,1.2707487036019225,3
2024-04-23,0.009142644033030622,1.28236670665439,1
2024-04-24,0.023039827126803036,1.311912213888875,5
2024-04-25,-0.007055990492729912,1.302655373780379,5
2024-04-26,-0.02262549733081433,1.2731821480979402,4
2024-04-29,0.013087549873280315,1.2898449829589422,5
2024-04-30,-0.010006995178713984,1.2769375104331837,4
2024-05-03,-0.018800680757739354,1.252930215951947,5
2024-05-06,-0.021162672516773052,1.2264148641053862,4
2024-05-07,0.00028379041326373,1.2267629088865035,4
2024-05-08,0.00034641961250222444,1.227187883618032,4
2024-05-09,0.007964986662844842,1.2369624187438546,5
2024-05-10,0.005328737567595455,1.2435538668543187,4
2024-05-13,0.007996936245081819,1.2534984878448776,5
2024-05-14,0.006960219904493247,1.2622231129702275,5
2024-05-15,0.010328514545943579,1.2752600027527665,4
2024-05-16,0.007716607699209198,1.2851006839085022,4
2024-05-17,-0.0010303392831585542,1.2837765941910573,4
2024-05-22,0.005756291091701072,1.2911663859639335,4
2024-05-23,0.002287939179699117,1.2941204961258908,5
2024-05-24,0.0005208114217622791,1.2947944888614098,5
2024-05-27,-0.0102362750064132,1.281540616396636,5
2024-05-29,-0.020152655480255854,1.25571416987044,4
2024-05-30,-0.006115393989387251,1.248034982983626,3
2024-05-31,0.014084829422495893,1.265613342832258,4
2024-06-03,-0.05101228528007448,1.2010515139334301,4
2024-06-04,0.04587974159335392,1.2561554470330023,4
2024-06-05,0.015707170179446173,1.2758860944113881,4
2024-06-06,0.019510017241405067,1.3007786541114232,5
2024-06-07,-0.0041754410046795035,1.2953473295810347,5
2024-06-10,0.0033884700120516476,1.2997365751625112,4
2024-06-11,0.0028133627757809822,1.3033932056613944,2
2024-06-12,0.00883933229591487,1.314914331318473,5
2024-06-13,0.0034476627206353923,1.319447712439389,5
2024-06-14,-0.005492322860761989,1.3122008796047782,4
2024-06-19,0.011626297297318655,1.3274569171448665,5
2024-06-21,0.012578588029045101,1.3441544508319379,5
2024-06-24,0.001553219605807866,1.3462422178782039,4
2024-06-25,-0.007832677897060015,1.3356975362141403,5
2024-06-26,-0.0019178034573799079,1.333135930861175,5
2024-06-27,0.007746999191430704,1.3434637338396238,4
2024-06-28,0.0038968011682798177,1.3486989448871916,5
2024-07-01,0.0038968011682798177,1.3539545565112858,4
2024-07-02,0.015455900172640646,1.3748811429750163,2
2024-07-03,0.005602941783098336,1.382584521977785,2
